trigger_no,trigger_type,corr,key
1,stim_1_start,False,left
2,stim_1_end,False,left
3,stim_2_start,False,left
4,stim_2_end,False,left
5,answered,False,left
# 0:00:00         | info     | TriggerHandler constructed with params: dummy_mode=True,trigger_time=0.02
# 0:00:00         | info     | Possible triggerTypes registered: ['stim_1_start', 'stim_1_end', 'stim_2_start', 'stim_2_end', 'answered']
# 0:00:00         | info     | Dummy mode: True
# 0:00:00         | info     | Trigger time: 0.02
# 0:00:00         | info     | Params registered: ['trigger_no', 'trigger_type', 'corr', 'key']
# 0:00:00         | info     | Trigger limit set to: 60
# 0:00:15.793005  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:16.294974  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:16.617218  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:17.115446  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:17.372994  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
