trigger_no,trigger_type,corr,key
1,stim_1_start,UNKNOWN,UNKNOWN
2,stim_1_end,UNKNOWN,UNKNOWN
3,stim_2_start,UNKNOWN,UNKNOWN
4,stim_2_end,UNKNOWN,UNKNOWN
5,answered,UNKNOWN,UNKNOWN
# 0:00:00         | info     | TriggerHandler constructed with params: dummy_mode=True,trigger_time=0.04
# 0:00:00         | info     | Possible triggerTypes registered: ['stim_1_start', 'stim_1_end', 'stim_2_start', 'stim_2_end', 'answered']
# 0:00:00         | info     | Dummy mode: True
# 0:00:00         | info     | Trigger time: 0.04
# 0:00:00         | info     | Params registered: ['trigger_no', 'trigger_type', 'corr', 'key']
# 0:00:00         | info     | Trigger limit set to: 60
# 0:00:07.133207  | info     | send_trigger() run with params trigger_type=stim_1_start, info=None, with_delay=True
# 0:00:07.633698  | info     | send_trigger() run with params trigger_type=stim_1_end, info=None, with_delay=True
# 0:00:07.976774  | info     | send_trigger() run with params trigger_type=stim_2_start, info=None, with_delay=False
# 0:00:08.474707  | info     | send_trigger() run with params trigger_type=stim_2_end, info=None, with_delay=True
# 0:00:08.771184  | info     | send_trigger() run with params trigger_type=answered, info=None, with_delay=True
# 0:00:08.812906  | warning  | Cannot add info to curr trial cause no trial was started.
